0.00, 1, red, Entry
2.53, 4, red, Exit
2.53, 2, red, Entry
2.57, 2, red, Exit
2.57, 4, red, Entry
2.63, 4, red, Exit
2.63, 2, red, Entry
2.67, 2, red, Exit
2.67, 3, red, Entry
2.70, 3, red, Exit
2.70, 2, red, Entry
2.77, 2, red, Exit
2.77, 4, red, Entry
3.10, 4, red, Exit
3.10, 3, red, Entry
3.17, 3, red, Exit
3.17, 4, red, Entry
3.20, 4, red, Exit
3.20, 1, red, Entry
3.23, 1, red, Exit
3.23, 2, red, Entry
3.27, 2, red, Exit
3.27, 3, red, Entry
3.70, 3, red, Exit
3.70, 2, red, Entry
3.77, 2, red, Exit
3.77, 3, red, Entry
3.83, 3, red, Exit
3.83, 1, red, Entry
3.87, 1, red, Exit
3.87, 3, red, Entry
3.90, 3, red, Exit
3.90, 1, red, Entry
3.93, 1, red, Exit
3.93, 2, red, Entry
4.00, 2, red, Exit
4.00, 3, red, Entry
4.07, 3, red, Exit
4.07, 1, red, Entry
4.10, 1, red, Exit
4.10, 3, red, Entry
4.13, 3, red, Exit
4.13, 4, red, Entry
4.17, 4, red, Exit
4.17, 3, red, Entry
4.20, 3, red, Exit
4.20, 1, red, Entry
4.23, 1, red, Exit
4.23, 4, red, Entry
4.30, 4, red, Exit
4.30, 2, red, Entry
4.33, 2, red, Exit
4.33, 4, red, Entry
4.37, 4, red, Exit
4.37, 2, red, Entry
4.40, 2, red, Exit
4.40, 3, red, Entry
4.43, 3, red, Exit
4.43, 4, red, Entry
4.53, 4, red, Exit
4.53, 3, red, Entry
4.73, 3, red, Exit
4.73, 2, red, Entry
4.93, 2, red, Exit
4.93, 4, red, Entry
5.00, 4, red, Exit
5.00, 3, red, Entry
5.07, 3, red, Exit
5.07, 2, red, Entry
5.10, 2, red, Exit
5.10, 3, red, Entry
5.20, 3, red, Exit
5.20, 2, red, Entry
5.23, 2, red, Exit
5.23, 3, red, Entry
5.27, 3, red, Exit
5.27, 2, red, Entry
5.30, 2, red, Exit
5.30, 4, red, Entry
5.37, 4, red, Exit
5.37, 3, red, Entry
5.43, 3, red, Exit
5.43, 1, red, Entry
5.47, 1, red, Exit
5.47, 4, red, Entry
5.50, 4, red, Exit
5.50, 1, red, Entry
5.53, 1, red, Exit
5.53, 2, red, Entry
5.57, 2, red, Exit
5.57, 3, red, Entry
5.63, 3, red, Exit
5.63, 4, red, Entry
5.67, 4, red, Exit
5.67, 2, red, Entry
5.73, 2, red, Exit
5.73, 4, red, Entry
5.80, 4, red, Exit
5.80, 2, red, Entry
5.83, 2, red, Exit
5.83, 4, red, Entry
5.87, 4, red, Exit
5.87, 3, red, Entry
5.93, 3, red, Exit
5.93, 2, red, Entry
5.97, 2, red, Exit
5.97, 4, red, Entry
6.03, 4, red, Exit
6.03, 1, red, Entry
6.13, 1, red, Exit
6.13, 3, red, Entry
6.20, 3, red, Exit
6.20, 1, red, Entry
6.23, 1, red, Exit
6.23, 3, red, Entry
6.30, 3, red, Exit
6.30, 1, red, Entry
6.33, 1, red, Exit
6.33, 2, red, Entry
6.37, 2, red, Exit
6.37, 3, red, Entry
6.43, 3, red, Exit
6.43, 1, red, Entry
6.47, 1, red, Exit
6.47, 3, red, Entry
6.50, 3, red, Exit
6.50, 1, red, Entry
6.70, 1, red, Exit
6.70, 2, red, Entry
6.73, 2, red, Exit
6.73, 4, red, Entry
6.77, 4, red, Exit
6.77, 1, red, Entry
6.80, 1, red, Exit
6.80, 2, red, Entry
6.87, 2, red, Exit
6.87, 1, red, Entry
6.90, 1, red, Exit
6.90, 4, red, Entry
6.93, 4, red, Exit
6.93, 1, red, Entry
7.03, 1, red, Exit
7.03, 3, red, Entry
7.27, 3, red, Exit
7.27, 2, red, Entry
7.30, 2, red, Exit
7.30, 1, red, Entry
7.33, 1, red, Exit
7.33, 2, red, Entry
7.37, 2, red, Exit
7.37, 3, red, Entry
7.40, 3, red, Exit
7.40, 2, red, Entry
7.43, 2, red, Exit
7.43, 3, red, Entry
7.47, 3, red, Exit
7.47, 1, red, Entry
7.50, 1, red, Exit
7.50, 3, red, Entry
7.60, 3, red, Exit
7.60, 2, red, Entry
7.63, 2, red, Exit
7.63, 3, red, Entry
7.77, 3, red, Exit
7.77, 1, red, Entry
7.80, 1, red, Exit
7.80, 2, red, Entry
7.87, 2, red, Exit
7.87, 1, red, Entry
7.90, 1, red, Exit
7.90, 2, red, Entry
7.93, 2, red, Exit
7.93, 1, red, Entry
8.00, 1, red, Exit
8.00, 4, red, Entry
8.07, 4, red, Exit
8.07, 3, red, Entry
8.10, 3, red, Exit
8.10, 2, red, Entry
8.17, 2, red, Exit
8.17, 1, red, Entry
8.20, 1, red, Exit
8.20, 3, red, Entry
8.23, 3, red, Exit
8.23, 1, red, Entry
8.27, 1, red, Exit
8.27, 3, red, Entry
8.63, 3, red, Exit
8.63, 2, red, Entry
8.70, 2, red, Exit
8.70, 3, red, Entry
8.77, 3, red, Exit
8.77, 2, red, Entry
8.80, 2, red, Exit
8.80, 3, red, Entry
8.87, 3, red, Exit
8.87, 1, red, Entry
8.90, 1, red, Exit
8.90, 2, red, Entry
8.93, 2, red, Exit
8.93, 4, red, Entry
8.97, 4, red, Exit
8.97, 3, red, Entry
9.10, 4, green, Entry
9.20, 3, red, Exit
9.20, 4, red, Entry
9.23, 4, red, Exit
9.23, 3, red, Entry
9.27, 3, red, Exit
9.27, 4, red, Entry
9.27, 4, green, Exit
9.27, 2, green, Entry
9.30, 4, red, Exit
9.30, 3, red, Entry
9.37, 3, red, Exit
9.37, 1, red, Entry
9.40, 1, red, Exit
9.40, 3, red, Entry
9.47, 3, red, Exit
9.47, 2, red, Entry
9.50, 2, red, Exit
9.50, 4, red, Entry
9.57, 4, red, Exit
9.57, 3, red, Entry
9.60, 3, red, Exit
9.60, 4, red, Entry
9.67, 4, red, Exit
9.67, 3, red, Entry
9.97, 3, red, Exit
9.97, 2, red, Entry
10.00, 2, red, Exit
10.00, 4, red, Entry
10.17, 4, red, Exit
10.17, 3, red, Entry
10.20, 3, red, Exit
10.20, 4, red, Entry
10.33, 4, red, Exit
10.33, 3, red, Entry
10.37, 3, red, Exit
10.37, 2, red, Entry
10.40, 2, red, Exit
10.40, 3, red, Entry
10.57, 3, red, Exit
10.57, 2, red, Entry
10.60, 2, red, Exit
10.60, 3, red, Entry
10.77, 3, red, Exit
10.77, 2, red, Entry
10.80, 2, red, Exit
10.80, 4, red, Entry
10.83, 4, red, Exit
10.83, 3, red, Entry
11.27, 3, red, Exit
11.27, 4, red, Entry
11.30, 4, red, Exit
11.30, 3, red, Entry
11.33, 3, red, Exit
11.33, 4, red, Entry
11.37, 4, red, Exit
11.37, 3, red, Entry
11.43, 3, red, Exit
11.43, 1, red, Entry
11.53, 1, red, Exit
11.53, 3, red, Entry
11.60, 3, red, Exit
11.60, 2, red, Entry
11.63, 2, red, Exit
11.63, 3, red, Entry
11.67, 3, red, Exit
11.67, 2, red, Entry
11.70, 2, red, Exit
11.70, 1, red, Entry
11.73, 1, red, Exit
11.73, 4, red, Entry
11.77, 4, red, Exit
11.77, 2, red, Entry
11.80, 2, red, Exit
11.80, 3, red, Entry
11.83, 3, red, Exit
11.83, 2, red, Entry
11.87, 2, red, Exit
11.87, 3, red, Entry
12.00, 3, red, Exit
12.00, 1, red, Entry
12.03, 1, red, Exit
12.03, 4, red, Entry
18.23, 2, green, Exit
18.23, 4, green, Entry
21.27, 4, red, Exit
21.27, 1, red, Entry
21.33, 1, red, Exit
21.33, 3, red, Entry
21.37, 3, red, Exit
21.37, 2, red, Entry
21.40, 2, red, Exit
21.40, 4, red, Entry
21.43, 4, red, Exit
21.43, 1, red, Entry
21.47, 1, red, Exit
21.47, 4, red, Entry
21.50, 4, red, Exit
21.50, 1, red, Entry
21.53, 1, red, Exit
21.53, 2, red, Entry
21.57, 2, red, Exit
21.57, 1, red, Entry
21.60, 1, red, Exit
21.60, 4, red, Entry
21.63, 4, red, Exit
21.63, 1, red, Entry
21.67, 1, red, Exit
21.67, 3, red, Entry
21.90, 3, red, Exit
21.90, 4, red, Entry
21.93, 4, red, Exit
21.93, 2, red, Entry
21.97, 2, red, Exit
21.97, 3, red, Entry
22.07, 3, red, Exit
22.07, 4, red, Entry
22.17, 4, red, Exit
22.17, 3, red, Entry
22.33, 3, red, Exit
22.33, 4, red, Entry
22.37, 4, red, Exit
22.37, 3, red, Entry
22.50, 3, red, Exit
22.50, 2, red, Entry
22.57, 2, red, Exit
22.57, 1, red, Entry
22.60, 1, red, Exit
22.60, 2, red, Entry
22.67, 2, red, Exit
22.67, 3, red, Entry
22.83, 3, red, Exit
22.83, 2, red, Entry
22.87, 2, red, Exit
22.87, 3, red, Entry
23.03, 3, red, Exit
23.03, 1, red, Entry
23.07, 1, red, Exit
23.07, 2, red, Entry
23.10, 2, red, Exit
23.10, 3, red, Entry
23.13, 3, red, Exit
23.13, 4, red, Entry
23.20, 4, red, Exit
23.20, 3, red, Entry
23.23, 3, red, Exit
23.23, 1, red, Entry
23.27, 1, red, Exit
23.27, 2, red, Entry
23.30, 2, red, Exit
23.30, 4, red, Entry
23.50, 4, red, Exit
23.50, 2, red, Entry
24.57, 2, red, Exit
24.57, 4, red, Entry
24.70, 4, red, Exit
24.70, 3, red, Entry
24.77, 3, red, Exit
24.77, 2, red, Entry
24.80, 2, red, Exit
24.80, 3, red, Entry
24.87, 3, red, Exit
24.87, 2, red, Entry
24.90, 2, red, Exit
24.90, 3, red, Entry
25.00, 3, red, Exit
25.00, 1, red, Entry
25.13, 1, red, Exit
25.13, 3, red, Entry
25.17, 3, red, Exit
25.17, 1, red, Entry
25.23, 1, red, Exit
25.23, 3, red, Entry
25.30, 3, red, Exit
25.30, 2, red, Entry
25.37, 2, red, Exit
25.37, 3, red, Entry
25.43, 3, red, Exit
25.43, 4, red, Entry
25.50, 4, red, Exit
25.50, 2, red, Entry
25.53, 2, red, Exit
25.53, 3, red, Entry
25.63, 3, red, Exit
25.63, 2, red, Entry
25.67, 2, red, Exit
25.67, 4, red, Entry
25.70, 4, red, Exit
25.70, 2, red, Entry
25.73, 2, red, Exit
25.73, 3, red, Entry
25.80, 3, red, Exit
25.80, 4, red, Entry
25.83, 4, red, Exit
25.83, 3, red, Entry
25.97, 3, red, Exit
25.97, 1, red, Entry
26.00, 1, red, Exit
26.00, 4, red, Entry
26.10, 4, red, Exit
26.10, 3, red, Entry
26.13, 3, red, Exit
26.13, 4, red, Entry
26.20, 4, red, Exit
26.20, 1, red, Entry
26.23, 1, red, Exit
26.23, 3, red, Entry
26.30, 3, red, Exit
26.30, 4, red, Entry
27.23, 4, red, Exit
27.23, 3, red, Entry
27.73, 3, red, Exit
27.73, 4, red, Entry
27.93, 4, red, Exit
27.93, 3, red, Entry
28.03, 3, red, Exit
28.03, 4, red, Entry
33.23, 4, green, Exit
33.23, 2, green, Entry
36.00, 2, yellow, Exit
36.00, 4, yellow, Entry
42.07, 4, red, Exit
42.07, 2, red, Entry
42.17, 2, red, Exit
42.17, 3, red, Entry
42.27, 3, red, Exit
42.27, 2, red, Entry
42.63, 2, red, Exit
42.63, 3, red, Entry
42.70, 3, red, Exit
42.70, 2, red, Entry
42.73, 2, red, Exit
42.73, 3, red, Entry
42.83, 3, red, Exit
42.83, 2, red, Entry
43.00, 2, red, Exit
43.00, 3, red, Entry
43.03, 3, red, Exit
43.03, 1, red, Entry
43.17, 1, red, Exit
43.17, 3, red, Entry
43.33, 3, red, Exit
43.33, 2, red, Entry
43.43, 2, red, Exit
43.43, 3, red, Entry
43.47, 3, red, Exit
43.47, 2, red, Entry
43.57, 2, red, Exit
43.57, 3, red, Entry
43.60, 3, red, Exit
43.60, 2, red, Entry
43.70, 2, red, Exit
43.70, 1, red, Entry
43.77, 1, red, Exit
43.77, 2, red, Entry
43.80, 2, red, Exit
43.80, 4, red, Entry
43.90, 4, red, Exit
43.90, 3, red, Entry
43.97, 3, red, Exit
43.97, 1, red, Entry
44.00, 1, red, Exit
44.00, 4, red, Entry
44.03, 4, red, Exit
44.03, 2, red, Entry
44.07, 2, red, Exit
44.07, 3, red, Entry
44.17, 3, red, Exit
44.17, 2, red, Entry
44.27, 2, red, Exit
44.27, 3, red, Entry
44.33, 3, red, Exit
44.33, 2, red, Entry
44.47, 2, red, Exit
44.47, 3, red, Entry
44.50, 3, red, Exit
44.50, 2, red, Entry
44.53, 2, red, Exit
44.53, 3, red, Entry
44.63, 3, red, Exit
44.63, 2, red, Entry
44.67, 2, red, Exit
44.67, 3, red, Entry
44.70, 3, red, Exit
44.70, 2, red, Entry
44.93, 2, red, Exit
44.93, 3, red, Entry
44.97, 3, red, Exit
44.97, 2, red, Entry
45.13, 2, red, Exit
45.13, 3, red, Entry
45.17, 3, red, Exit
45.17, 2, red, Entry
45.20, 2, red, Exit
45.20, 3, red, Entry
45.27, 3, red, Exit
45.27, 2, red, Entry
45.30, 2, red, Exit
45.30, 1, red, Entry
45.33, 1, red, Exit
45.33, 3, red, Entry
45.37, 3, red, Exit
45.37, 1, red, Entry
45.40, 1, red, Exit
45.40, 3, red, Entry
45.53, 3, red, Exit
45.53, 1, red, Entry
45.57, 1, red, Exit
45.57, 3, red, Entry
45.60, 3, red, Exit
45.60, 1, red, Entry
45.63, 1, red, Exit
45.63, 2, red, Entry
45.70, 2, red, Exit
45.70, 4, red, Entry
45.73, 4, red, Exit
45.73, 1, red, Entry
45.77, 1, red, Exit
45.77, 2, red, Entry
45.87, 2, red, Exit
45.87, 3, red, Entry
45.93, 3, red, Exit
45.93, 2, red, Entry
46.03, 2, red, Exit
46.03, 1, red, Entry
46.17, 1, red, Exit
46.17, 2, red, Entry
46.23, 2, red, Exit
46.23, 4, red, Entry
46.27, 4, red, Exit
46.27, 1, red, Entry
46.30, 1, red, Exit
46.30, 3, red, Entry
46.33, 3, red, Exit
46.33, 4, red, Entry
46.47, 4, red, Exit
46.47, 1, red, Entry
46.50, 1, red, Exit
46.50, 4, red, Entry
46.53, 4, red, Exit
46.53, 1, red, Entry
46.57, 1, red, Exit
46.57, 4, red, Entry
46.63, 4, red, Exit
46.63, 2, red, Entry
46.67, 2, red, Exit
46.67, 4, red, Entry
46.73, 2, green, Exit
46.73, 4, green, Entry
46.77, 4, red, Exit
46.77, 3, red, Entry
46.80, 3, red, Exit
46.80, 1, red, Entry
46.83, 1, red, Exit
46.83, 3, red, Entry
46.87, 3, red, Exit
46.87, 4, red, Entry
46.93, 4, red, Exit
46.93, 1, red, Entry
46.97, 1, red, Exit
46.97, 4, red, Entry
47.00, 4, red, Exit
47.00, 1, red, Entry
47.07, 1, red, Exit
47.07, 3, red, Entry
47.17, 3, red, Exit
47.17, 4, red, Entry
47.30, 4, red, Exit
47.30, 3, red, Entry
47.37, 3, red, Exit
47.37, 4, red, Entry
47.40, 4, red, Exit
47.40, 2, red, Entry
47.43, 2, red, Exit
47.43, 4, red, Entry
47.50, 4, red, Exit
47.50, 2, red, Entry
47.57, 2, red, Exit
47.57, 3, red, Entry
47.60, 3, red, Exit
47.60, 2, red, Entry
47.67, 2, red, Exit
47.67, 3, red, Entry
47.70, 3, red, Exit
47.70, 4, red, Entry
47.73, 4, red, Exit
47.73, 2, red, Entry
47.77, 2, red, Exit
47.77, 3, red, Entry
47.80, 3, red, Exit
47.80, 2, red, Entry
47.83, 2, red, Exit
47.83, 3, red, Entry
47.97, 3, red, Exit
47.97, 2, red, Entry
48.00, 2, red, Exit
48.00, 1, red, Entry
48.03, 1, red, Exit
48.03, 4, red, Entry
48.07, 4, red, Exit
48.07, 1, red, Entry
48.13, 1, red, Exit
48.13, 2, red, Entry
48.20, 2, red, Exit
48.20, 3, red, Entry
48.23, 3, red, Exit
48.23, 2, red, Entry
48.27, 2, red, Exit
48.27, 1, red, Entry
48.30, 1, red, Exit
48.30, 4, red, Entry
48.33, 4, red, Exit
48.33, 3, red, Entry
48.37, 3, red, Exit
48.37, 4, red, Entry
48.40, 4, red, Exit
48.40, 2, red, Entry
48.43, 2, red, Exit
48.43, 1, red, Entry
48.47, 1, red, Exit
48.47, 2, red, Entry
48.50, 2, red, Exit
48.50, 1, red, Entry
48.57, 1, red, Exit
48.57, 4, red, Entry
48.70, 4, red, Exit
48.70, 2, red, Entry
48.73, 2, red, Exit
48.73, 4, red, Entry
48.87, 4, red, Exit
48.87, 2, red, Entry
48.90, 2, red, Exit
48.90, 3, red, Entry
48.90, 4, yellow, Exit
48.90, 2, yellow, Entry
48.93, 3, red, Exit
48.93, 4, red, Entry
49.07, 4, red, Exit
49.07, 1, red, Entry
49.20, 1, red, Exit
49.20, 2, red, Entry
49.27, 2, red, Exit
49.27, 4, red, Entry
49.37, 4, red, Exit
49.37, 2, red, Entry
49.40, 2, red, Exit
49.40, 4, red, Entry
49.47, 4, red, Exit
49.47, 1, red, Entry
49.50, 1, red, Exit
49.50, 4, red, Entry
49.57, 4, red, Exit
49.57, 2, red, Entry
49.60, 2, red, Exit
49.60, 4, red, Entry
49.70, 4, red, Exit
49.70, 3, red, Entry
49.73, 3, red, Exit
49.73, 4, red, Entry
49.93, 4, red, Exit
49.93, 3, red, Entry
50.03, 3, red, Exit
50.03, 1, red, Entry
50.07, 1, red, Exit
50.07, 2, red, Entry
50.10, 2, red, Exit
50.10, 3, red, Entry
50.27, 3, red, Exit
50.27, 2, red, Entry
50.30, 2, red, Exit
50.30, 3, red, Entry
50.33, 3, red, Exit
50.33, 4, red, Entry
50.37, 4, red, Exit
50.37, 3, red, Entry
50.43, 3, red, Exit
50.43, 2, red, Entry
50.47, 2, red, Exit
50.47, 3, red, Entry
50.50, 3, red, Exit
50.50, 1, red, Entry
50.60, 1, red, Exit
50.60, 2, red, Entry
50.63, 2, red, Exit
50.63, 1, red, Entry
50.67, 1, red, Exit
50.67, 3, red, Entry
50.70, 3, red, Exit
50.70, 1, red, Entry
50.80, 1, red, Exit
50.80, 2, red, Entry
50.83, 2, red, Exit
50.83, 1, red, Entry
50.87, 1, red, Exit
50.87, 3, red, Entry
50.93, 3, red, Exit
50.93, 1, red, Entry
51.33, 1, red, Exit
51.33, 2, red, Entry
51.37, 2, red, Exit
51.37, 3, red, Entry
51.47, 3, red, Exit
51.47, 1, red, Entry
51.53, 1, red, Exit
51.53, 3, red, Entry
51.63, 3, red, Exit
51.63, 2, red, Entry
51.67, 2, red, Exit
51.67, 3, red, Entry
51.73, 3, red, Exit
51.73, 4, red, Entry
55.00, 4, green, Exit
55.00, 2, green, Entry
55.43, 2, green, Exit
55.43, 4, green, Entry
56.60, 4, green, Exit
56.60, 2, green, Entry
64.27, 4, red, Exit
64.27, 3, red, Entry
64.30, 3, red, Exit
64.30, 1, red, Entry
64.33, 1, red, Exit
64.33, 2, red, Entry
64.37, 2, red, Exit
64.37, 3, red, Entry
64.53, 3, red, Exit
64.53, 4, red, Entry
64.60, 4, red, Exit
64.60, 1, red, Entry
64.63, 1, red, Exit
64.63, 4, red, Entry
64.83, 4, red, Exit
64.83, 3, red, Entry
64.87, 3, red, Exit
64.87, 1, red, Entry
64.90, 1, red, Exit
64.90, 4, red, Entry
65.00, 2, green, Exit
65.00, 4, green, Entry
65.03, 4, red, Exit
65.03, 1, red, Entry
65.20, 1, red, Exit
65.20, 4, red, Entry
65.27, 4, red, Exit
65.27, 2, red, Entry
65.37, 2, red, Exit
65.37, 1, red, Entry
65.40, 1, red, Exit
65.40, 3, red, Entry
65.43, 3, red, Exit
65.43, 2, red, Entry
65.57, 2, red, Exit
65.57, 1, red, Entry
65.63, 1, red, Exit
65.63, 2, red, Entry
65.67, 2, red, Exit
65.67, 3, red, Entry
65.70, 3, red, Exit
65.70, 4, red, Entry
65.83, 4, red, Exit
65.83, 3, red, Entry
65.93, 3, red, Exit
65.93, 2, red, Entry
66.00, 2, red, Exit
66.00, 1, red, Entry
66.03, 1, red, Exit
66.03, 3, red, Entry
66.07, 3, red, Exit
66.07, 2, red, Entry
66.10, 2, red, Exit
66.10, 3, red, Entry
66.13, 3, red, Exit
66.13, 2, red, Entry
66.17, 2, red, Exit
66.17, 3, red, Entry
66.20, 3, red, Exit
66.20, 4, red, Entry
66.23, 4, red, Exit
66.23, 1, red, Entry
66.27, 1, red, Exit
66.27, 2, red, Entry
66.30, 2, red, Exit
66.30, 4, red, Entry
66.40, 4, red, Exit
66.40, 3, red, Entry
66.43, 3, red, Exit
66.43, 1, red, Entry
66.47, 1, red, Exit
66.47, 4, red, Entry
66.53, 4, red, Exit
66.53, 1, red, Entry
66.57, 1, red, Exit
66.57, 3, red, Entry
66.63, 3, red, Exit
66.63, 4, red, Entry
66.67, 4, red, Exit
66.67, 1, red, Entry
66.70, 2, yellow, Exit
66.70, 1, yellow, Entry
66.73, 1, yellow, Exit
66.73, 2, yellow, Entry
66.77, 1, red, Exit
66.77, 3, red, Entry
66.80, 3, red, Exit
66.80, 4, red, Entry
66.83, 4, red, Exit
66.83, 3, red, Entry
66.87, 3, red, Exit
66.87, 4, red, Entry
66.87, 2, yellow, Exit
66.87, 4, yellow, Entry
66.97, 4, red, Exit
66.97, 3, red, Entry
67.03, 3, red, Exit
67.03, 1, red, Entry
67.07, 1, red, Exit
67.07, 3, red, Entry
67.40, 3, red, Exit
67.40, 1, red, Entry
67.43, 1, red, Exit
67.43, 3, red, Entry
67.57, 3, red, Exit
67.57, 4, red, Entry
67.60, 4, red, Exit
67.60, 3, red, Entry
67.80, 3, red, Exit
67.80, 2, red, Entry
67.83, 2, red, Exit
67.83, 3, red, Entry
67.87, 3, red, Exit
67.87, 4, red, Entry
67.90, 4, red, Exit
67.90, 3, red, Entry
67.93, 3, red, Exit
67.93, 1, red, Entry
67.97, 1, red, Exit
67.97, 2, red, Entry
68.00, 2, red, Exit
68.00, 3, red, Entry
68.03, 3, red, Exit
68.03, 1, red, Entry
68.10, 1, red, Exit
68.10, 3, red, Entry
68.13, 3, red, Exit
68.13, 1, red, Entry
68.23, 1, red, Exit
68.23, 2, red, Entry
68.30, 2, red, Exit
68.30, 1, red, Entry
68.33, 1, red, Exit
68.33, 4, red, Entry
68.37, 4, red, Exit
68.37, 3, red, Entry
68.43, 3, red, Exit
68.43, 4, red, Entry
68.50, 4, red, Exit
68.50, 3, red, Entry
68.63, 3, red, Exit
68.63, 4, red, Entry
68.67, 4, red, Exit
68.67, 3, red, Entry
68.83, 3, red, Exit
68.83, 2, red, Entry
68.87, 2, red, Exit
68.87, 3, red, Entry
69.00, 3, red, Exit
69.00, 4, red, Entry
69.03, 4, red, Exit
69.03, 1, red, Entry
69.07, 1, red, Exit
69.07, 3, red, Entry
69.57, 3, red, Exit
69.57, 4, red, Entry
69.60, 4, red, Exit
69.60, 3, red, Entry
69.67, 3, red, Exit
69.67, 4, red, Entry
69.73, 4, red, Exit
69.73, 2, red, Entry
69.77, 2, red, Exit
69.77, 4, red, Entry
69.80, 4, red, Exit
69.80, 1, red, Entry
69.83, 1, red, Exit
69.83, 3, red, Entry
69.90, 3, red, Exit
69.90, 4, red, Entry
69.93, 4, red, Exit
69.93, 3, red, Entry
70.03, 3, red, Exit
70.03, 4, red, Entry
70.07, 4, red, Exit
70.07, 3, red, Entry
70.10, 3, red, Exit
70.10, 4, red, Entry
70.13, 4, red, Exit
70.13, 1, red, Entry
70.17, 1, red, Exit
70.17, 4, red, Entry
70.20, 4, red, Exit
70.20, 3, red, Entry
70.27, 3, red, Exit
70.27, 2, red, Entry
70.30, 2, red, Exit
70.30, 3, red, Entry
70.33, 3, red, Exit
70.33, 4, red, Entry
70.37, 4, red, Exit
70.37, 3, red, Entry
70.60, 3, red, Exit
70.60, 4, red, Entry
70.63, 4, red, Exit
70.63, 3, red, Entry
70.67, 3, red, Exit
70.67, 1, red, Entry
70.70, 1, red, Exit
70.70, 4, red, Entry
70.73, 4, red, Exit
70.73, 3, red, Entry
70.77, 3, red, Exit
70.77, 4, red, Entry
70.80, 4, red, Exit
70.80, 3, red, Entry
70.83, 3, red, Exit
70.83, 4, red, Entry
70.87, 4, red, Exit
70.87, 3, red, Entry
71.00, 3, red, Exit
71.00, 1, red, Entry
71.03, 1, red, Exit
71.03, 3, red, Entry
71.13, 3, red, Exit
71.13, 2, red, Entry
71.17, 2, red, Exit
71.17, 3, red, Entry
71.20, 3, red, Exit
71.20, 4, red, Entry
71.23, 4, red, Exit
71.23, 3, red, Entry
71.30, 3, red, Exit
71.30, 4, red, Entry
71.33, 4, red, Exit
71.33, 3, red, Entry
71.40, 3, red, Exit
71.40, 1, red, Entry
71.47, 1, red, Exit
71.47, 3, red, Entry
71.50, 3, red, Exit
71.50, 1, red, Entry
71.57, 1, red, Exit
71.57, 2, red, Entry
71.63, 2, red, Exit
71.63, 4, red, Entry
71.70, 4, red, Exit
71.70, 3, red, Entry
71.73, 3, red, Exit
71.73, 1, red, Entry
71.80, 1, red, Exit
71.80, 3, red, Entry
72.00, 3, red, Exit
72.00, 1, red, Entry
72.03, 1, red, Exit
72.03, 4, red, Entry
72.07, 4, red, Exit
72.07, 3, red, Entry
72.10, 3, red, Exit
72.10, 4, red, Entry
72.17, 4, red, Exit
72.17, 3, red, Entry
72.20, 3, red, Exit
72.20, 2, red, Entry
72.23, 2, red, Exit
72.23, 4, red, Entry
72.47, 4, red, Exit
72.47, 1, red, Entry
72.50, 1, red, Exit
72.50, 4, red, Entry
72.53, 4, red, Exit
72.53, 3, red, Entry
72.67, 3, red, Exit
72.67, 2, red, Entry
72.70, 2, red, Exit
72.70, 4, red, Entry
72.97, 4, red, Exit
